,Testing Accuracy,Validation Accuracy,Testing Loss,Validation Loss
0,0.7985489368438721,0.805136501789093,0.5117796063423157,0.4957713782787323
1,0.814436137676239,0.8029949069023132,0.49368661642074585,0.4952884018421173
2,0.8145620226860046,0.8071701526641846,0.48827657103538513,0.4936193823814392
3,0.8142709732055664,0.8036901354789734,0.48781850934028625,0.4935540556907654
4,0.8090758323669434,0.8050217032432556,0.4868176579475403,0.4934971034526825
5,0.8045620918273926,0.8062670230865479,0.49137645959854126,0.4922470152378082
6,0.8133915066719055,0.8062873482704163,0.4843873381614685,0.49114397168159485
7,0.8135279417037964,0.8069244027137756,0.48773840069770813,0.48983415961265564
8,0.8120685815811157,0.8104611039161682,0.48644566535949707,0.4897528886795044
9,0.8070909976959229,0.8092368245124817,0.4898492097854614,0.4894600808620453
10,0.8127371072769165,0.8077087998390198,0.48572611808776855,0.48940831422805786
11,0.8110406398773193,0.8083001375198364,0.4884664714336395,0.5668367147445679
12,0.8180279731750488,0.811859667301178,0.5071733593940735,0.48927760124206543
13,0.8194913864135742,0.8113056421279907,0.48286449909210205,0.4891568422317505
14,0.8183002471923828,0.8114636540412903,0.4950675070285797,0.4897518754005432
15,0.8178229928016663,0.8110945224761963,0.4889468550682068,0.4882018268108368
16,0.8039661049842834,0.7891550064086914,0.49130791425704956,0.4864406883716583
17,0.8092966079711914,0.8087061047554016,0.4910297095775604,0.4975033402442932
18,0.8180640935897827,0.8115089535713196,0.4909459948539734,0.49396923184394836
19,0.8180947303771973,0.8105462789535522,0.4861718416213989,0.4903160631656647
20,0.8097599148750305,0.810828447341919,0.4884314239025116,0.49499228596687317
21,0.8159857392311096,0.8066495656967163,0.4866434633731842,0.4960320293903351
22,0.8153582215309143,0.8082312345504761,0.4896014630794525,0.49496662616729736
23,0.8145262598991394,0.8093404769897461,0.48645466566085815,0.49520713090896606
24,0.8166876435279846,0.807834267616272,0.48887044191360474,0.4942827522754669
25,0.81097811460495,0.8076073527336121,0.4878719747066498,0.4915177822113037
26,0.8141325116157532,0.8122986555099487,0.48657628893852234,0.49109524488449097
27,0.8090484142303467,0.8061214089393616,0.48990774154663086,0.5014511346817017
28,0.8103351593017578,0.8112705945968628,0.48903343081474304,0.49385741353034973
29,0.811806857585907,0.8069666624069214,0.48963841795921326,0.49109718203544617
30,0.8092676401138306,0.804556131362915,0.48865270614624023,0.49090421199798584
31,0.8109228610992432,0.8101634383201599,0.4917353093624115,0.4944882094860077
32,0.8169378638267517,0.8097761869430542,0.48592090606689453,0.49223312735557556
33,0.8084791302680969,0.8092678785324097,0.48641544580459595,0.49088871479034424
34,0.8138479590415955,0.8048200607299805,0.4863261580467224,0.4939158260822296
35,0.7934050559997559,0.7903468012809753,0.49276089668273926,0.4902985692024231
36,0.7761064171791077,0.7823006510734558,0.504657506942749,0.49076154828071594
37,0.7822030782699585,0.8113833069801331,0.516700029373169,0.4883674383163452
38,0.8046994209289551,0.8101363182067871,0.5103442668914795,0.49059104919433594
39,0.8047386407852173,0.8099043369293213,0.5051069259643555,0.49108371138572693
40,0.8040416240692139,0.8105030059814453,0.5168203115463257,0.48944923281669617
41,0.8076143860816956,0.8076713681221008,0.5378862619400024,0.49958536028862
42,0.8045773506164551,0.8065769672393799,0.5578402280807495,0.5246291756629944
43,0.8141431212425232,0.8069201111793518,0.5188487768173218,0.5036735534667969
44,0.8009948134422302,0.8102940320968628,0.5089272856712341,0.5686469078063965
45,0.8125767111778259,0.8099794387817383,0.5680139660835266,0.570216715335846
46,0.8136146068572998,0.8110144138336182,0.567438542842865,0.5685835480690002
47,0.8129175305366516,0.8095223903656006,0.5717678666114807,0.5689515471458435
48,0.8136760592460632,0.8064928650856018,0.5774437785148621,0.5705931782722473
49,0.8091233968734741,0.8097840547561646,0.5616234540939331,0.4944300353527069
50,0.8144943714141846,0.8091281652450562,0.5040848255157471,0.49204304814338684
51,0.8162553310394287,0.8117144703865051,0.4937856197357178,0.4986840784549713
52,0.8110445737838745,0.8070585131645203,0.49464356899261475,0.4914797842502594
53,0.803693413734436,0.8009502291679382,0.49171537160873413,0.4905679523944855
54,0.8053678870201111,0.8070434331893921,0.48958566784858704,0.4912177324295044
55,0.8108435869216919,0.8085909485816956,0.48914265632629395,0.4947877824306488
56,0.8007835745811462,0.80363529920578,0.49308210611343384,0.4906519055366516
57,0.793809175491333,0.8055933713912964,0.4976462423801422,0.4896036982536316
58,0.8055940270423889,0.8021740317344666,0.4904426336288452,0.49064818024635315
59,0.8022024035453796,0.807801365852356,0.4902123808860779,0.48962509632110596
